"","Dia setmana","Mes de any","Dia de mes","Hora de dia","Desc. Tipus vehicle implicat","Descripció sexe","Edat","Descripció tipus persona","Descripció victimització"
"1","3",11,10,19,"17","0","29","0","0"
"2","2",12,21,18,"11","0","30","0","0"
"3","5",3,19,7,"11","0","39","0","0"
"4","3",5,26,7,"11","0","28","0","0"
"5","3",10,20,7,"17","1","14","2","0"
"6","6",1,24,12,"3","0","47","0","0"
"7","0",11,7,8,"11","1","45","0","0"
"8","2",9,21,7,"11","1","32","0","0"
"9","1",5,24,17,"9","0","51","0","0"
"10","1",5,24,17,"17","1","25","1","0"
"11","1",5,24,17,"17","0","23","0","0"
"12","1",5,24,17,"17","0","26","1","0"
"13","1",5,24,17,"17","0","27","1","0"
"14","1",5,24,17,"17","0","28","0","0"
"15","4",10,14,10,"11","1","26","0","0"
"16","0",11,21,7,"11","0","25","0","0"
"17","0",11,21,7,"17","0","38","0","0"
"18","1",5,24,9,"11","0","42","0","0"
"19","3",6,23,11,"9","0","34","1","0"
"20","3",6,23,11,"9","0","38","0","0"
"21","3",6,23,11,"9","0","40","0","0"
"22","3",6,23,11,"9","0","52","0","0"
"23","4",11,25,13,"9","0","26","0","0"
"24","4",11,25,13,"9","0","26","1","0"
"25","2",12,14,17,"17","0","35","0","0"
"26","3",7,28,23,"17","1","31","0","0"
"27","2",9,7,9,"17","1","72","1","0"
"28","3",2,4,18,"11","0","50","0","0"
"29","4",4,8,15,"11","1","17","0","0"
"30","2",9,7,9,"17","1","28","1","0"
"31","6",12,25,12,"17","1","24","1","0"
"32","6",12,25,12,"17","1","25","1","0"
"33","6",12,25,12,"17","1","51","1","0"
"34","6",12,25,12,"17","1","52","1","0"
"35","6",12,25,12,"17","1","64","1","0"
"36","6",12,25,12,"17","0","26","0","0"
"37","6",12,25,12,"17","0","43","0","0"
"38","6",12,25,12,"17","0","51","0","0"
"39","6",12,25,12,"17","0","8","1","0"
"40","2",4,20,12,"3","0","36","0","1"
"41","1",10,25,9,"17","1","25","0","0"
"42","1",9,20,18,"11","0","38","1","0"
"43","1",9,20,18,"11","0","39","0","0"
"44","4",12,23,12,"17","1","39","1","0"
"45","4",12,23,12,"17","1","54","1","0"
"46","4",12,23,12,"17","1","80","0","0"
"47","4",12,23,12,"17","0","57","0","0"
"48","2",8,10,14,"11","0","65","0","0"
"49","5",11,5,19,"6","0","17","0","0"
"50","4",7,1,23,"11","0","31","0","0"
"51","1",5,31,18,"17","1","50","0","0"
"52","1",5,31,18,"17","0","11","1","0"
"53","1",5,31,18,"17","0","17","1","0"
"54","4",10,28,10,"11","1","22","0","0"
"55","0",11,28,17,"11","1","27","0","0"
"56","2",7,13,1,"11","1","18","1","0"
"57","2",7,13,1,"11","1","22","0","0"
"58","5",7,23,10,"17","0","38","0","0"
"59","6",7,31,11,"11","1","24","1","0"
"60","3",11,17,11,"11","0","46","0","0"
"61","3",6,30,9,"11","0","41","0","0"
"62","4",11,18,18,"11","0","16","0","0"
"63","6",6,26,14,"6","0","21","0","0"
"64","2",3,9,19,"11","0","22","0","0"
"65","0",11,7,21,"11","0","15","1","0"
"66","0",11,7,21,"11","0","16","0","0"
"67","3",3,31,8,"17","0","36","2","0"
"68","0",10,31,17,"11","1","30","0","0"
"69","4",6,17,19,"11","0","31","0","0"
"70","3",10,20,19,"14","1","48","1","0"
"71","3",10,20,19,"14","0","49","0","0"
"72","3",3,3,15,"17","1","38","0","0"
"73","0",3,28,18,"11","1","21","0","0"
"74","3",5,5,18,"17","1","59","1","0"
"75","5",5,21,17,"11","0","23","0","0"
"76","0",5,23,20,"6","0","21","0","0"
"77","1",6,7,10,"17","1","30","0","0"
"78","1",6,7,10,"17","1","57","1","0"
"79","1",6,7,10,"17","0","62","0","0"
"80","4",7,22,21,"17","0","28","1","0"
"81","4",7,22,21,"17","0","29","0","0"
"82","1",10,25,15,"11","1","22","0","0"
"83","5",12,17,9,"11","1","25","0","0"
"84","1",12,20,8,"11","1","55","1","0"
"85","1",12,20,8,"11","0","59","0","1"
"86","5",12,24,14,"6","0","47","0","0"
"87","0",7,25,18,"17","0","40","0","0"
"88","2",11,16,20,"17","0","27","2","0"
"89","4",3,4,17,"11","0","23","0","0"
"90","4",3,11,14,"17","1","30","0","0"
"91","0",5,2,16,"11","0","35","0","0"
"92","1",7,26,23,"17","0","29","0","0"
"93","0",9,19,9,"11","1","28","1","1"
"94","0",9,19,9,"11","0","29","0","1"
"95","0",9,19,9,"17","0","32","0","0"
"96","1",9,27,0,"11","0","21","0","0"
"97","1",11,8,19,"11","1","38","0","0"
"98","2",11,9,9,"17","1","34","0","0"
"99","2",11,9,9,"17","1","50","1","0"
"100","0",12,19,12,"17","1","20","0","0"
"101","3",8,11,8,"6","0","19","0","0"
"102","0",3,7,20,"6","0","24","0","0"
"103","1",2,23,18,"11","0","56","0","0"
"104","2",6,8,18,"11","0","28","0","0"
"105","4",6,17,14,"11","0","23","0","1"
"106","2",12,14,9,"11","0","21","0","0"
"107","0",6,6,23,"17","0","18","0","0"
"108","2",7,27,21,"17","1","31","0","0"
"109","2",7,27,21,"17","0","38","1","0"
"110","4",11,18,17,"11","0","45","0","0"
"111","3",2,25,16,"0","1","46","1","0"
"112","0",6,27,17,"17","1","41","0","0"
"113","4",3,25,6,"17","0","19","0","1"
"114","0",5,9,14,"17","1","41","0","0"
"115","2",12,14,17,"9","0","28","0","0"
"116","2",12,14,17,"17","1","24","1","0"
"117","2",12,14,17,"17","0","25","0","0"
"118","2",12,14,17,"17","0","28","0","0"
"119","3",3,10,8,"11","1","28","0","0"
"120","1",7,26,15,"11","0","52","0","0"
"121","4",11,11,8,"11","0","33","0","0"
"122","3",12,1,20,"11","0","36","0","0"
"123","3",10,13,9,"11","0","56","0","0"
"124","2",8,24,14,"11","0","29","0","0"
"125","2",8,24,14,"17","0","24","0","0"
"126","2",8,24,14,"17","0","42","0","0"
"127","3",9,22,14,"9","1","29","1","0"
"128","3",9,22,14,"9","1","5","1","0"
"129","3",9,22,14,"9","0","10","1","0"
"130","3",9,22,14,"17","0","42","0","0"
"131","1",5,3,18,"11","0","28","0","0"
"132","1",5,3,18,"11","0","32","0","0"
"133","4",6,10,12,"11","1","16","0","0"
"134","4",6,10,12,"11","1","17","1","0"
"135","0",10,10,15,"17","1","52","1","0"
"136","0",10,10,15,"17","0","21","0","0"
"137","0",10,10,15,"17","0","24","0","0"
"138","6",4,24,20,"11","0","32","0","0"
"139","2",5,18,8,"17","1","27","2","0"
"140","2",5,18,8,"17","0","8","2","0"
"141","1",4,26,8,"11","1","30","0","0"
"142","1",5,10,18,"11","0","62","0","0"
"143","0",10,3,16,"11","0","24","0","0"
"144","3",10,27,15,"11","0","38","0","0"
"145","5",4,2,14,"11","0","53","0","0"
"146","5",4,2,14,"17","1","36","1","0"
"147","5",4,2,14,"17","1","43","0","0"
"148","5",4,2,14,"17","0","22","1","0"
"149","5",4,2,14,"17","0","58","0","0"
"150","5",4,2,14,"17","0","64","1","0"
"151","4",1,15,17,"17","0","67","0","0"
"152","3",5,5,11,"3","0","49","0","0"
"153","1",4,5,23,"17","0","34","0","0"
"154","0",9,5,14,"17","1","22","0","0"
"155","0",9,5,14,"17","1","3","1","0"
"156","5",11,19,18,"11","0","53","0","0"
"157","4",12,2,16,"11","1","29","1","0"
"158","4",12,2,16,"11","0","35","0","0"
"159","0",12,19,22,"17","1","22","0","0"
"160","0",12,19,22,"17","1","36","0","0"
"161","0",12,19,22,"17","0","21","1","0"
"162","3",2,25,21,"11","0","58","0","0"
"163","2",5,18,16,"11","0","36","0","1"
"164","1",7,12,16,"11","0","52","0","0"
"165","1",9,6,9,"11","0","30","0","0"
"166","2",3,16,20,"11","0","49","0","0"
"167","3",1,14,14,"17","1","42","0","0"
"168","3",1,14,14,"17","1","65","1","0"
"169","2",4,6,8,"11","0","23","0","0"
"170","1",5,24,17,"11","0","48","0","0"
"171","2",9,21,15,"17","0","49","0","0"
"172","2",9,21,15,"17","0","81","0","0"
"173","0",12,19,22,"17","1","26","0","0"
"174","0",12,19,22,"17","1","46","0","0"
"175","4",6,17,15,"17","1","29","0","0"
"176","1",3,1,19,"11","0","31","0","0"
